Single-Gap-1024
1,1,0,510.0,0.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
2,2,0,510.0,99.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
3,3,0,510.0,198.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
4,4,0,510.0,297.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
5,5,0,510.0,396.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
6,6,0,510.0,495.0,20.0,0.0,0.0,0.0,5.0,7.0,50.0,PrimCylinder,
6,6,0,510.0,522.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
7,7,0,510.0,621.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
8,8,0,510.0,720.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
9,9,0,510.0,819.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
10,10,0,510.0,918.0,20.0,0.0,0.0,0.0,5.0,99.0,50.0,PrimCylinder,
11,11,0,510.0,1017.0,20.0,0.0,0.0,0.0,5.0,7.0,50.0,PrimCylinder,
