9f0d80b6-7765-434d-bc73-4c2b86e5dc91, 6/7/2012
18:42:51, 129, 125, 24
18:42:53, 129, 125, 20
1834a54e-2bdc-4180-a83e-56d7dfa20018, 11/5/2011
18:46:52, 220, 194, 24
20:33:19, 220, 194, 20
20:35:37, 220, 194, 24
20:35:39, 220, 194, 20
20:36:13, 219, 190, 20
20:36:15, 221, 188, 20
20:36:16, 225, 188, 20
20:36:17, 227, 184, 24
20:36:19, 229, 181, 24
20:36:20, 231, 177, 24
20:36:21, 234, 174, 24
20:36:23, 237, 171, 24
20:36:24, 240, 168, 24
20:36:25, 242, 167, 24
20:37:32, 201, 101, 20
20:37:33, 199, 98, 20
20:37:35, 196, 95, 20
20:37:36, 193, 92, 20
20:37:37, 213, 65, 20
20:37:48, 210, 60, 24
20:38:08, 209, 59, 24
20:38:54, 206, 58, 24
20:38:58, 206, 60, 24
20:39:00, 205, 57, 24
20:48:37, 85, 236, 44
00:39:15, 85, 236, 48
00:39:17, 85, 236, 44
7128e932-ae77-4b1f-8c9d-c9e6beb5bca7, 7/2/2012
19:36:37, 220, 194, 20
f7ec1118-edf2-42ad-913f-83b548bbb5f8, 2/25/2010
20:28:06, 251, 27, 20
20:28:08, 247, 29, 20
20:28:09, 243, 31, 20
20:28:10, 240, 32, 20
20:28:12, 236, 34, 20
20:28:13, 232, 36, 20
20:28:14, 232, 37, 20
20:28:18, 235, 34, 20
20:28:20, 238, 36, 20
20:28:21, 238, 41, 20
20:28:22, 238, 45, 20
20:28:24, 238, 49, 20
20:28:25, 239, 53, 20
20:28:26, 242, 57, 20
20:28:28, 244, 60, 20
20:28:29, 248, 63, 20
20:28:30, 252, 63, 20
20:28:32, 255, 61, 20
36e8dda2-84ab-4398-bd42-03ccc6833805, 12/30/2010
20:39:12, 128, 128, 0
20:39:14, 128, 128, 24
2b147667-409e-4bea-8bca-50215a628b56, 3/15/2011
20:44:18, 132, 113, 24
20:44:20, 132, 113, 20
ec69d781-07fe-44d0-9041-a013f85eddab, 2/24/2011
20:48:45, 132, 111, 24
20:48:47, 132, 111, 20
d33c02d7-29e8-49e6-8522-9b30c58617c4, 2/6/2009
20:50:33, 131, 127, 24
9c330c7f-41b5-4904-82ee-67611053af53, 5/20/2007
20:56:14, 159, 7, 20
20:56:16, 163, 10, 20
20:56:17, 166, 12, 20
20:56:18, 169, 14, 20
20:56:20, 171, 15, 20
20:56:22, 172, 15, 20
181d8061-2ca1-4115-8801-196a8077249d, 4/4/2009
21:25:14, 159, 65, 20
21:26:57, 247, 16, 20
21:26:59, 241, 15, 20
